xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
4.9,0.29,-4.41,-65.12,-1.46,60.55
11.11,1.72,-8.23,-49.01,-8.67,90.58
4.95,-5.5,6.65,-2.99,0.37,5.92
6.95,-2.63,-4.71,31.8,-10.5,-25.94
9.08,-2.8,-1.99,-0.24,0.31,-0.98
6.75,-0.94,-8.1,-19.84,-6.53,24.23
3.46,-6.39,6.88,-3.23,4.58,6.35
4.6,3.05,-3.25,-70.13,-30.58,63.11
9.09,-2.16,-2.06,-0.67,0.12,-0.06
8.75,0.16,-4.21,-11.9,0.49,21.42
5.47,2.56,-5.12,1.34,-11.54,-2.99
14.37,-3.83,-2.07,-5.55,0.12,20.2
9.68,-0.57,-9.2,-8.54,-10.68,24.6
9.41,-0.23,-8.7,-18.55,-0.92,0.55
3.7,-6.11,7.01,-0.98,-0.98,-1.53
9.19,-3.11,-5.42,-142.76,47.91,80.02
11.71,-0.66,-8.36,31.37,74.46,-19.41
7.55,-1.86,6.16,0.12,-0.61,-1.22
9.73,1.97,-4.47,-65.86,26.06,14.47
11.5,-8.45,-3.77,20.57,-9.03,8.12
4.59,-0.93,-7.89,-61.1,8.48,71.84
9.57,-0.77,-4.95,-7.32,8.24,-26.86
8.6,-2.12,-5.75,-12.57,1.46,-11.11
7.06,-1.66,-6.11,6.29,-3.3,-7.08
7.73,-0.5,-5.11,4.33,2.14,-18.55
6.95,-2.03,-6.33,-64.76,1.83,76.29
9.7,-1.85,-0.31,29.36,20.39,-20.57
5.24,-3.14,-3.67,11.35,-65.8,-71.17
8.33,-0.96,-4.36,18.19,-2.38,-2.75
5.55,0.33,-3.21,-8.12,-3.6,-0.12
9.84,1.37,-3.28,20.2,-11.54,-21.85
6.45,-1.64,-6.42,21.12,-0.55,-12.39
8.02,1.26,-3.6,-24.66,-17.94,-7.75
5.34,3.4,-5.48,-5,7.87,-1.59
7.42,-0.91,6.39,15.75,10.31,-29.48
8.41,1.86,-6.57,-26.12,-4.09,5.25
8.34,-1.05,-7.1,8.79,7.32,2.5
7.81,-5.46,-7.11,66.77,-33.08,-76.6
6.41,0.59,-5.59,47.79,-1.59,-7.75
6.61,-1.64,-6.91,-42.54,-28.08,45.04
5.86,-4.16,-4.28,3.48,4.21,-3.11
5.55,0.52,8.03,-17.64,8.85,-13.61
11.43,-4.91,-3.11,-8.91,54.81,-48.65
7.9,-3.82,-5.34,-21.73,13,10.01
4.67,-8.32,3.91,-2.08,1.77,1.46
6.68,-0.71,-6.94,-8.61,1.77,9.4
39.24,6.27,14.05,-65.49,-175.05,-14.47
15.11,0.31,-3.58,40.28,40.71,-48.16
8.05,-1.25,-4.19,28.08,-9.16,-2.01
3.94,-2.22,-5.67,48.65,-10.68,-45.9
4.91,-1.71,-8.21,-5.55,38.88,27.53
2.69,-3.59,-5.08,-22.28,-107.67,93.38
7.39,-0.82,-5.91,13.18,2.14,-13.85
5.48,3.21,7.39,32.53,-15.81,-1.59
10.71,-2.61,-6.81,-5,-1.95,-6.41
7.53,-0.79,-3.15,-17.64,-3.11,-2.26
9.43,-2.08,-1.42,0.24,0.49,-1.22
7.78,-2.2,-5.78,78.86,-13.12,-59.69
6.44,-0.9,-2.42,53.71,-9.22,-38.82
6,-3.25,-4.34,-39.79,27.89,14.04
9.77,0.47,-3.49,-10.93,1.46,-15.38
8.9,-2.54,-3.2,26.18,2.26,2.32
6.11,-1.04,7.84,-1.16,0.49,-1.1
7.22,2.61,6.07,-0.79,0,-3.3
8.68,-3.48,-2.93,-2.56,0.73,0
5.38,-4.89,-5.73,-13.85,10.25,9.09
5.54,-1.71,-4.86,1.04,-2.38,2.5
9.73,0.63,-1.12,162.48,49.62,-8.73
10.17,0,-6.7,-3.66,-7.45,-18.49
12.33,2.89,-9.78,107.97,-4.09,-105.35
12.82,0.93,-7.66,14.47,23.8,-32.41
8.06,-2.33,-6.51,1.04,-0.73,-3.54
6.25,1.1,-9,5,19.04,-12.45
9.19,3.02,-7.31,-85.14,-3.78,90.76
6.91,2.71,-5.58,5.55,-7.81,-16.17
5.78,-1.31,8.39,2.93,3.48,-3.05
5.24,-0.32,-5.82,-20.45,-1.59,20.87
6.89,-0.09,-3.68,-15.08,11.47,-13.98
7.26,-1.67,6.54,-0.06,0.12,-1.28
4.13,-0.2,-7.23,19.9,-0.49,41.99
11.55,-1.11,-5.12,59.33,63.35,12.27
8.93,-0.74,-4.24,-26,-2.93,28.5
12.81,1.48,-12.04,57.74,-49.44,-15.81
8.39,-2.09,-4.91,-18.86,20.57,12.27
12.19,-3.72,-5.34,6.1,-22.58,-1.28
7.25,-3.14,-6.03,-13.24,-0.79,-7.02
5.9,-0.77,-7.53,-7.69,-0.55,10.93
2.46,-3.36,-9.08,-29.11,-4.88,-20.39
13.62,0.46,-17.97,68.36,-71.59,37.78
6.8,-1.21,-7.18,-3.05,2.08,13.55
6.74,-2.19,-3.2,-30.15,4.27,4.46
6.3,-1.97,-6.14,31.19,4.58,2.69
8.4,-2.7,-4.33,1.89,4.94,21.73
6.85,-2.12,-6.55,-29.05,-1.59,25.39
7.21,-2.01,-5.17,22.77,-10.86,-29.79
5.48,-5.33,6.32,-1.1,1.16,-0.49
7.86,0.18,-4.53,74.58,-59.45,86.98
6.69,0.18,-5.75,-2.56,4.33,3.17
5.28,-4.52,7.22,-1.46,-0.79,-0.37
8.19,-0.2,-5.79,-15.14,-2.38,2.99
7.66,0.61,-4.83,122.68,-13.06,-84.66
5.55,0.24,-6.67,0.92,9.77,-11.9
7.3,1.61,-5.01,16.66,-2.44,6.35
6.55,-2.43,-8.2,75.62,-32.84,-67.57
6,-1.09,10.98,15.08,-1.28,-8.85
7.99,-2.66,-4.89,-1.16,-1.4,-3.23
5.53,-4.3,-5.7,8.97,0.43,2.93
5.67,-2.86,7.72,-0.24,0.73,-1.4
6.74,0.43,7.51,0.24,-0.37,-1.77
6.72,-3.15,6.6,-0.98,-0.18,-0.92
7.53,-2.86,-5.33,1.16,0.98,0.06
4.47,-4.1,7.69,0.79,-5.49,5.62
8.7,1.54,-2.5,-3.11,24.48,-26.92
7.18,-3.56,-6.02,-14.59,1.89,26.49
8.22,-3.71,-6.01,0.67,-44.37,-31.25
8.57,-0.31,-6.06,13.79,15.32,16.36
6.87,-0.12,-3.5,-10.38,-69.4,-26.67
8.22,-2.19,-4.66,0.24,0.67,-1.95
7.14,-0.01,-2.54,-45.41,22.03,22.34
5.48,-2.15,-6.07,40.16,-5.62,-33.94
12.89,0.42,-7.22,3.6,-4.03,33.81
4.22,2.56,7.25,79.71,22.95,50.35
10.13,-4.49,-4.92,-82.4,55.97,57.25
5.25,-1.25,8.13,-1.59,-1.1,-0.61
4.42,-6.44,6.99,20.81,-7.87,-22.16
6.58,-1.38,-7.75,-67.57,32.53,73.67
5.99,-1.97,-6.14,-4.82,-0.92,-3.05
5.19,-0.78,-5.88,2.14,4.27,0.49
5.93,3.37,5.43,1.95,26.06,30.46
5.2,0.25,-2.05,-23.5,16.48,15.38
7.99,-0.63,-4.21,6.04,-13.49,-2.26
10.32,0.23,-6.04,-4.64,-2.44,8.12
6.75,0.4,-3.98,13,1.71,22.09
7.75,-3.64,-2.23,-21.61,-20.14,12.88
2.63,-0.1,-9.23,7.2,25.33,6.16
7.33,-1.04,-3.44,-20.45,3.11,-6.29
8.46,-3.58,-2.71,-54.02,13,3.78
13.48,-2.18,-5.51,13.55,4.76,-3.11
6.14,0.4,-5.78,-4.7,2.44,8.67
7.4,0.86,-2.41,-19.84,15.38,7.32
5.47,-1.08,-5.16,3.36,21.12,-14.1
10.38,0.73,-7.95,-12.08,-12.7,-8.12
6.67,-1.83,-6.32,7.63,-0.61,-5.49
5.42,-0.5,-6.48,3.6,3.17,11.41
5.4,2.05,-5.73,0.18,0.37,-0.92
4.9,0.9,7.76,-8.54,-20.02,7.75
4.78,-2.13,-7.77,40.71,7.08,-55.91
5.71,0.35,-7.11,-2.08,-14.04,-6.29
7.98,-1.82,-7.35,33.87,22.83,-50.9
5.45,1.61,-4.05,0.31,-15.5,-2.87
7.97,-3.43,-4.05,-29.24,5.86,21.12
7.96,-2.2,-5.89,-32.41,-6.04,27.89
13.2,0.48,-0.27,52.61,-31.62,51.57
7.73,-1.79,-4.35,6.23,-8.18,-3.54
4.71,-1.72,-4.96,-3.05,-10.01,-8.24
7.37,5.86,2.68,18.49,-25.27,-38.57
12.04,-1.84,-10.03,-0.12,-5.49,-29.6
5.28,-3.67,-4.85,24.29,-4.88,-22.52
8.75,-3.04,-2.78,2.08,-3.23,0.79
7.42,2.08,-3.83,-9.22,-1.34,11.47
3.55,-5.95,7.03,-0.31,2.26,-1.46
5.99,1.56,-3.19,7.32,-6.29,-10.31
8.12,-3.3,-1.95,81.85,150.63,14.47
6.65,-3.88,-7.8,-4.52,21.12,27.71
6.13,-1.28,-5.57,-29.97,0.49,21.79
8.14,2.2,-4.53,29.05,-11.47,-1.59
5.66,-1.6,-6.22,30.82,29.3,-31.01
6.84,-3,6.64,-1.46,0.85,-0.79
6.01,-3.78,-6.09,12.7,-17.88,-17.15
4.99,-1.04,-3.14,-44.49,-10.07,39.18
7.4,-0.64,-7.46,-7.02,-8.67,-14.89
5.43,-0.5,-5.07,-16.42,-5.92,20.75
12.18,16.31,32.95,-46.94,0.37,-126.71
5.19,-4.59,7.13,-0.79,1.04,-1.77
5.17,-4.39,-1.89,4.39,10.8,12.27
5.41,-3.68,7.46,0.24,-0.73,-1.4
7.04,-1.68,6.72,2.38,0.92,-5.19
3.57,-0.89,-6.53,-12.45,7.87,22.58
8.05,-1.94,-6.92,16.48,1.4,10.93
8.58,-1.28,-2.61,-46.2,14.53,-1.46
5.85,2.05,-7.4,4.94,4.09,-16.78
5.23,-3.51,7.55,-0.55,-1.59,-2.38
-0.08,-4.7,-5.93,63.29,-64.15,-61.52
4.95,-2.02,-1.93,-81.85,36.74,55.97
5.51,-1.39,-4.72,-2.32,2.08,1.95
9.06,-4.36,-9.38,22.95,28.87,-67.87
-2.54,-2.52,2.55,-35.03,34.61,63.54
14.32,-2.3,-9.38,12.15,3.78,-21.85
8.03,-3.03,-4.34,-9.28,-30.94,0
3.24,-0.69,-5.48,-120.42,-6.04,121.34
10.66,-0.36,-8.26,-27.34,8.79,47.73
11.56,-3.02,-6.82,15.69,-3.54,0.31
5.2,0.44,5.34,-1.83,-6.71,16.85
5.37,1.66,-4.11,-27.04,-16.85,28.44
9.5,-0.67,-5.6,-46.75,41.75,17.82
9.43,-1.9,-4.21,15.26,8.42,-33.33
1.58,17.73,-19.71,-10.62,-309.81,-27.83
8.87,-2.42,-1.69,-2.56,-1.71,-0.18
9.12,0.2,2.79,-10.56,-3.23,4.76
6.6,-1.83,-7.02,60.42,-11.54,-70.19
7.51,-1.7,-4.85,2.08,6.16,5.92
7.86,-1.7,-5.43,29.24,-4.94,-29.6
9.15,1.92,-4.85,-11.84,10.8,1.16
7.49,-2.1,-5.26,15.14,12.08,24.48
6.31,-0.9,-7.91,11.05,8.3,-35.16
4.29,-2.74,-9.76,-14.47,3.78,-18.37
6.78,-2.52,-4.84,-51.51,35.46,40.71
7.22,2.57,5.36,-25.7,-0.12,-6.16
6.81,-2.32,-6.14,21.97,-6.23,-22.03
8.11,-3.14,-5.02,29.91,9.7,-19.84
9.25,-2.12,-1.95,-0.12,0.43,-0.92
7.02,4.73,-2.44,-48.16,10.5,28.14
7.52,-2.85,-6.11,19.96,-0.79,-3.48
6.4,1.01,-4.93,-37.6,8.3,49.68
4.65,1.51,-3.91,-3.78,-8.61,-19.78
8.08,-1.16,-7.36,-0.24,12.21,7.32
7.72,-2.64,-2.88,-16.6,10.13,16.54
6.89,0.81,-7.63,-0.49,13.61,-16.11
8.87,-2.32,-6.26,30.4,-10.68,-15.2
5.56,-2.22,-7.69,-8,34.12,27.95
4.93,0.59,-3.27,-18.98,3.66,6.9
6.41,-4.88,6.78,11.29,3.42,7.26
8.76,1.46,-6.3,-30.7,3.17,18.55
7.43,-1.85,-6.38,72.81,-38.09,-65.61
8.22,-1.67,-5.29,-28.93,2.44,5.55
9.39,-0.92,-7.73,-20.69,9.7,34.24
5.43,2.5,8.52,-81.48,50.72,8.06
8.64,-0.26,4.52,-14.34,11.23,13.12
9.05,-1.11,3.16,14.71,0.98,-13.98
6.79,-0.34,-8.23,13.55,9.77,-7.51
7.3,1.2,-4.92,-25.82,-7.57,17.09
8.95,0.48,-4.23,-8.3,-19.41,-16.17
8.15,-2.43,-4.69,-1.34,1.65,3.78
7.65,-2.6,7.87,19.96,17.09,-15.26
4.33,-8.12,3.96,-0.49,1.53,-1.46
7.54,-2.84,-5.32,-0.37,0.43,-1.53
7.43,-0.87,-6.59,3.3,-15.87,-11.23
8.49,-2.79,-6.66,-8.3,20.51,22.09
6.96,-0.92,-6.16,-10.44,2.01,1.77
5.06,0.94,-4.47,19.47,0.18,-8.85
10.59,0.99,-8.59,26.31,20.75,-26.55
6.68,-0.34,7.38,1.04,1.04,-4.03
5.33,-0.55,-5.56,-0.55,2.2,0.79
10.26,-2.33,-8.31,40.59,10.31,-50.66
6.24,7.33,2.11,-24.96,14.65,-10.68
4.68,-2.97,-7.73,-3.05,33.81,45.41
9.49,0.11,-4.93,6.65,15.2,21.61
8.19,-0.02,-2.88,19.29,-31.07,-1.83
8.55,-2.4,-6.96,8.85,4.82,13.61
9.87,-2.28,-6.76,-23.25,13.31,26.25
6.83,-0.05,-6.06,68.42,-6.04,-58.29
8.18,-2.64,-4.43,0,0.98,-1.34
7.02,-0.76,-4.04,23.44,4.94,-24.48
9,-2.92,-2.33,-0.67,0.06,-0.61
5.53,0.4,-8.51,-7.39,23.44,-9.09
5.39,-4.65,7.35,-15.44,5.98,-1.53
6.55,-8.79,-7.27,-38.82,-115.91,-104.25
3.82,-6.06,7.04,-2.62,1.89,0.12
7.01,-1.89,-7.61,134.77,-22.22,-88.38
6.45,2.34,-1.22,-8.91,9.89,3.05
6.15,1.92,-5,-15.08,-25.76,-5.19
7.58,-0.87,-6.96,-8.12,4.7,12.88
5.36,2.04,-8.75,-37.84,-2.56,45.41
7.41,-3.37,-4.43,-33.75,16.66,25.15
6.54,-0.41,-7.49,-12.08,7.45,-1.28
2.25,-5.46,-7.79,-50.29,-137.82,-31.56
6.38,-0.99,-3.54,-50.05,1.89,20.14
6.67,-0.77,-4.05,5,8.85,-7.93
10.96,0.05,-4.01,3.66,1.34,-41.93
7.38,0.71,-6.08,42.48,-3.6,-18.68
6.81,2.3,-5.97,-8,4.64,-3.17
7.01,-2.42,-6.3,25.27,3.42,0.31
3.09,-4.06,-5.53,62.99,-19.17,-44.13
6.29,-0.2,-8.33,4.33,21.12,-10.44
8.75,-3.52,-6.31,5.07,-9.4,-8.73
5.69,-3.94,7.48,-1.46,1.95,2.2
9.09,-2.81,-2.03,0.18,-2.01,-1.77
6.13,-0.75,-3.7,-32.78,-4.09,10.8
3.58,-7.33,5.7,32.1,-25.15,-17.09
15.6,-1.4,-8.64,-1.71,-14.22,46.26
8.32,-1.33,-4.86,-10.01,-0.31,12.08
8.88,-1.86,-3.24,-10.38,-11.17,10.25
7.67,0.8,-5.04,11.23,7.45,-27.53
1.57,-2.27,0.32,24.84,52.98,-37.29
7.5,-3.69,-4.13,-29.54,5.98,24.72
5.8,-2.39,-5.15,19.53,-21.48,-11.9
5.98,-2.03,-5.86,-6.29,-8.48,-0.06
6.84,-0.8,-7.63,3.97,19.47,16.48
7.14,-1.19,-5.18,0.85,-4.15,-21.36
6.28,-0.95,-6.97,-6.04,5.92,15.2
6.91,0.53,-6.39,-1.83,-1.22,0.06
9.43,-2.86,-6.35,-63.84,-15.14,47.42
4.38,-5.58,7.14,-0.43,-0.24,-0.85
6.84,0.63,-4.26,-1.83,10.13,1.34
6.99,-0.45,-6.69,-81.6,15.63,90.82
3.4,-7.23,-6.2,78.43,-13.55,-55.11
9.46,-5.12,-5.15,-43.21,1.71,26.18
5.68,-1.8,8.42,-2.38,-4.52,-0.12
9.49,-1.98,-1.24,-0.92,-0.37,0.18
2.98,-6.59,7.22,-14.4,3.97,10.99
6.31,-3.7,-7.12,-2.99,3.6,-6.47
4.95,0.65,-8.98,-26.06,21.91,32.53
7.32,-2.57,-7.43,45.78,-6.53,-30.46
6.03,-3.12,-7.05,10.99,13.24,-4.94
8.12,-2.31,-3.47,71.41,-4.46,-36.56
5.77,0.91,-5.65,6.96,0.37,3.66
8.35,0.45,-8.53,7.02,11.17,-14.53
4.23,-1.45,-6.16,-11.35,-6.29,10.62
6.79,2.1,-3.01,-19.59,8.48,27.1
5.64,0.56,-6.66,0.73,29.05,-11.96
7.71,0.09,-3.63,-17.27,-11.6,27.65
2.6,-5.04,6.86,-5,-3.05,-3.6
4.41,1.44,6.41,-16.78,1.83,2.2
8.11,-1.25,-3.42,-23.56,12.08,14.59
7.34,1.25,-5.47,11.17,-2.08,-9.52
6.33,-7.28,-9.17,-16.36,-15.44,28.32
5.5,-1.43,-6.76,2.08,2.5,-14.34
6.75,-3.78,-5.51,-0.98,2.2,-4.52
7.3,-1.61,-5.23,36.56,0.18,-26.31
9.46,-0.12,-8.31,-4.7,12.27,26.25
7.09,1.92,-4.54,-13.92,11.05,26.06
7.92,-0.81,-3.8,-22.83,11.29,-1.89
7.47,0.91,-5.13,-5.37,-12.15,8.48
8.46,-1.75,4.18,6.16,34.79,-0.73
5.75,0.75,-5.8,-4.94,33.14,12.7
6.96,1.1,-3.74,-41.56,-60.12,-83.74
7.23,0.6,-7.45,7.02,11.78,-11.84
6.53,4.31,3.47,49.44,0.73,4.52
5.65,2.91,-8.82,-5.49,15.14,-15.56
5.41,0.14,-5.82,-11.78,-4.64,14.1
3.56,-0.92,-5.17,-13.37,0,19.96
15.44,-0.46,-8.43,29.42,18.07,0.98
8.24,-2.84,-4.81,-6.16,-1.34,-5
7.35,-0.65,-5.48,-6.77,9.89,-3.48
11.33,-9.21,-6.19,20.57,-32.71,-40.34
9.4,-5.74,-9.31,-7.32,-13.73,-23.62
6.59,-1.23,-5.61,-23.68,-1.4,18.13
7.89,-0.38,-6.97,-11.54,-6.41,2.26
8.13,-1.85,-5.22,20.87,-8.24,-18.98
6.58,0.22,-4.06,4.21,-26.49,-3.36
5.84,2.28,-5.74,-17.58,0.92,13.31
-5.05,-6.9,7.86,-84.66,46.14,-21.42
4.79,-0.3,-4.85,-1.46,8.24,17.64
8.03,0.2,-8.72,-2.93,-15.75,-6.65
6.55,-0.05,7.25,2.01,0.85,0.55
7.29,-1.34,-6.32,23.25,-0.92,-20.87
7.48,-1.56,-1.93,18.74,-12.82,-10.19
7.34,0.56,-5.99,-63.11,19.29,41.44
0.63,-9.33,3.64,10.25,-2.62,-11.54
10.59,1,-8.58,-3.36,24.17,-19.53
7.62,-5.87,-5.35,-87.46,17.15,69.27
6.62,-0.65,-6.86,86.36,-5.25,-43.21
4.6,-2.66,6.74,-20.94,-5.19,-7.45
0.93,1.07,-4.57,-15.26,-0.92,8.42
5.56,4.4,1.51,-131.35,103.52,78.06
5.31,-1.31,-5.35,-5.07,-12.27,6.29
8.67,-1.72,-6.32,17.27,-6.9,-4.7
6.22,-3.45,6.95,-3.23,4.76,0.85
2.38,-5.67,-7.84,-2.32,20.39,16.72
6.36,0.93,-3.42,4.58,-4.21,-3.72
15.22,1.15,4.68,-4.09,11.66,-4.64
1.84,-17.47,29.55,-60.24,26.86,-15.32
7.97,0.72,-8.54,43.76,0,-25.09
7.51,-1.19,-5.87,97.29,-24.72,-62.74
7.7,2.1,-6.08,-73.12,16.72,60.61
7.62,1.52,-2.34,-1.77,-1.95,8.48
6.42,3.96,5.5,-32.53,10.13,29.48
14.11,-1.31,-9.67,7.69,-18.98,-6.29
5.11,-4.26,-7.74,-5.19,-11.17,-7.2
9.25,-2.16,-1.71,0.06,0.98,-3.85
5.89,-3.17,7.36,-0.18,0.06,-1.77
7.74,3.19,-5.57,-58.96,-6.84,44.49
5.89,1.25,-5.26,-6.59,-12.45,-0.31
5.39,-1.29,-6.22,-3.23,0.18,15.93
7.31,1.29,-4.8,-39.37,-3.91,36.5
8.17,-1.98,-5.01,89.36,-28.87,-48.16
4.42,-6.22,6.5,-1.16,0.49,-0.85
5.86,-2.68,-4.3,-6.16,17.33,-10.5
15.86,-0.45,-9.11,89.78,-58.11,-15.08
4.95,-1.18,-4.82,3.36,-2.38,-4.58
5.71,1.06,-3.94,-32.23,-0.67,24.48
8.88,-3.51,-1.55,-1.71,-1.16,0.79
8.94,0.65,-3.69,19.1,12.94,-33.75
5.74,-2.91,-4.31,-56.82,36.93,24.35
5.92,1.38,-8.31,-5.49,23.25,-9.4
8.98,-3.44,-1.54,-0.37,0.85,-1.28
5.76,1.81,-2.82,23.19,5.62,-15.63
0.74,0.07,-4.08,10.93,11.29,-21.55
7.28,-1.42,-6.37,13,-0.67,2.93
14.37,-0.94,5.67,11.05,-2.99,-28.99
6.38,-3.67,-5.97,6.35,7.14,-1.28
6.96,0.94,-3.82,-31.25,3.85,2.99
7.52,-2.43,-6.45,-34.18,3.85,32.29
8.1,-2.21,-4.78,-8.97,7.75,7.63
8.92,-1.81,-3.62,-7.51,6.35,5.43
6.66,-0.75,7.46,-19.1,6.41,25.76
3.01,2.34,9.81,-5.13,2.81,11.29
3.63,-5.99,7.03,-2.93,3.17,0.31
9.06,-1.47,-6.23,21.61,-0.31,5.37
9.86,-6.08,-3.46,-17.76,16.11,-6.65
2.59,-7.06,6.64,-0.49,0.79,-0.67
6.24,1.91,-4.26,8.54,0.85,-24.84
7.96,-3.45,-3.83,-20.51,15.93,29.24
6.62,-0.03,-6.23,0.37,2.99,-5.43
7.78,-0.64,-5.19,-10.74,-0.49,-8.48
6.68,-1.09,-6.05,-47.67,5.37,35.1
7.37,-0.78,-6.86,21.48,2.75,0.06
11.26,-2.59,-7.55,10.56,-11.11,-41.81
7.28,-2.54,-6.53,2.01,-11.6,2.44
7.73,-4.51,-4.26,4.27,-19.53,8.61
6.5,-0.61,-4,-0.61,2.75,0.98
0.74,-5.8,2.4,24.54,-10.99,6.59
6.93,0.93,-6.36,-86,23.93,41.63
6.07,1.7,7.09,-12.33,-4.15,4.64
7.11,0.33,-6.47,3.91,16.72,-25.63
7.61,-2.82,-5.39,-0.43,0.37,1.59
23.14,8.59,-6.56,1.34,8.24,39.43
9.04,0.46,5.78,16.85,-12.88,-1.04
6.96,-0.18,-6.99,11.78,18.92,-15.99
5.64,-3.93,7.25,-0.37,-0.06,-1.22
3.81,-4.86,7.98,-0.67,1.1,0
6.12,-0.43,8.01,-0.67,8,0.12
8.21,-0.39,-4.22,10.13,-2.2,-15.87
7.52,2.68,-3.71,15.32,-12.57,-21
7.03,-1.57,-5.94,54.38,-9.77,-59.51
7.53,-1.84,6.17,-0.55,0.06,-0.85
10.39,-0.6,-2.68,23.62,40.34,-22.34
4.78,-4.35,7.61,-0.06,0.06,-1.28
7.47,0.76,-6.37,17.7,4.52,-23.32
8.56,-1.56,-5.7,-45.1,-26.98,37.9
7.34,-1.66,6.09,15.38,35.28,-5.74
6.99,2.17,-4.01,7.87,-9.09,-6.53
6.7,1.15,-8.77,-1.71,16.66,-9.95
7.25,-1.79,-4.32,52.12,-8.73,-24.17
6.96,-0.45,-5.7,-3.54,-3.97,2.75
8.51,2.47,5.03,-33.51,14.77,75.68
9.48,-3.02,-4.69,-5.92,7.2,4.7
5.55,-2.69,-4.32,16.42,-0.92,-7.69
6.52,-3.22,-3.78,12.27,-9.89,-43.27
7.48,-3.47,-4.54,-116.21,59.88,48.46
9.36,-2.16,-1.82,0.61,1.22,-1.83
5.78,1.85,7.6,-4.58,0.49,9.4
5.36,0.49,-6.04,-15.44,-3.54,9.95
5.26,0.37,-5.22,-61.65,-7.2,74.65
5.73,-0.91,-5.63,-7.2,-2.87,7.2
12.61,0.11,-15.91,-82.34,55.91,77.76
7.89,-3.26,-4.42,6.77,11.35,-9.16
7.01,-1.39,-5.88,-2.14,-0.31,-3.05
6.56,-1.31,-5.26,-1.46,-2.01,-10.99
8.43,-2,-4.39,-0.92,-0.06,-0.79
7.88,-0.41,-4.47,-45.35,6.41,25.94
6.43,-0.52,7.82,-3.05,0.43,5.19
8.58,-1.89,-4.41,7.75,11.6,14.4
7.01,1.23,-5.99,-32.71,4.76,28.32
5.66,-0.04,-3.08,28.32,4.7,5
9.39,-2.36,-6.86,-26.67,-8.48,4.46
5.27,-3.5,-5.08,79.22,-30.46,-73.55
4.29,0.43,-6.36,9.34,1.77,-11.9
4.42,-6.12,6.55,-0.49,-0.31,-0.98
6.46,-1.3,7.19,-0.12,-1.1,-2.93
8.65,-4.2,-2.72,-0.12,2.2,-1.89
3.57,0.52,-5.3,4.39,-7.02,-2.01
6.03,-1.31,4,15.32,45.53,8.97
10.48,-0.53,-3.79,-31.37,-2.14,14.65
1.64,-2.36,-3.35,-68.97,10.19,128.17
3.35,2.27,-8.63,4.09,-30.21,-16.97
5.94,0.74,-6.27,2.62,-3.54,-5.25
2.92,-0.85,-9.68,-10.19,-13.49,-1.34
10.66,-2.27,-6.34,2.32,-10.07,8.3
7.36,-3.95,-3.88,15.32,-3.97,-16.24
6.62,-1.85,-6.14,-10.19,-7.39,-1.46
7.83,-1.17,-5.67,-0.79,-7.39,1.22
5.7,1.52,-5.87,1.77,6.16,-5.43
7.19,-3.83,-4.85,47.61,-31.07,-0.98
13.69,1.57,-7.89,-0.43,-23.44,12.76
8.34,-2.52,-4.82,-24.9,5.62,2.87
6.7,-3,6.68,-0.24,0.12,-1.1
6.19,0.56,-2.55,-9.7,10.74,-4.21
9.76,-3.27,-7.84,0.31,-8.06,-17.7
7.83,0.72,-6.51,-98.45,-2.56,66.77
5.68,1.31,-7.18,-0.61,2.2,-15.56
4.17,-6.32,6.59,5.13,-4.64,-1.04
4.67,-0.12,-6.54,-0.79,2.5,8.91
11.69,-3.32,-5.61,-0.31,36.38,-8.36
5.62,-3.75,-6.32,61.1,-18.25,-77.03
6.52,-3.1,-6.8,42.97,-10.8,-24.6
5.94,-1.09,7.82,-0.67,-0.12,-1.53
6.66,0.1,-4.64,-48.83,24.05,30.76
4.03,-6.27,-7.84,80.69,-21.61,-70.37
4.3,-8.12,3.85,-0.67,1.04,-0.79
5.03,-2.86,-5.85,-0.49,-0.18,7.08
4.77,-0.01,-5,21.06,2.32,-43.58
9.83,-4.5,-5.85,-47.12,-1.89,-2.93
7.33,1.59,-7.38,37.23,2.56,-18.55
5.18,0.97,-6.21,7.63,-3.54,-15.5
10.2,-4.62,-6.23,-64.58,14.34,40.47
5.53,-2.35,-6.55,-10.31,18.31,35.4
5.66,-2.85,7.7,-0.61,1.16,-0.43
7.11,0.44,6.79,-0.06,1.1,-0.12
7.14,-3.56,-5.53,55.36,-12.51,-58.11
6.13,1.16,-5.21,1.34,-12.08,3.48
7.28,0.15,-5.02,-22.28,-4.15,12.45
10.15,-4.92,-7.71,-37.05,55.05,80.02
5.05,-4,-5.12,17.76,11.05,0.98
1.86,-9.3,4.15,-4.76,2.14,-4.27
7.67,-1.18,-4.8,59.45,-6.59,-26.25
4.98,-3.84,-7.93,-117.55,0,49.19
4.54,-1.21,-5.3,-68.97,-8.36,62.32
5.58,0.55,-3.38,-33.08,-3.97,12.82
6.54,-2.04,-6.85,-0.73,0.37,-0.79
9.12,1.15,-8.44,4.58,25.76,-24.05
7.59,-4.47,-3.62,-5.37,2.08,-2.01
8.87,-3.56,-4.05,-26.73,0.31,3.78
5.55,-5.62,6.11,-4.76,3.54,-1.53
7.87,2.91,-7.17,-12.94,12.39,-1.53
6.96,-4.46,5.99,2.32,2.93,-2.08
7.19,-2.08,-7.19,42.54,1.4,-45.29
4.45,-5.49,7.11,-0.43,0.55,-1.1
